问题,召回文档标题,真实标题,正确召回,召回位置
在政务信息系统采购活动中，采购人是否需要指派代表参与评审？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政府采购评审专家管理办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '上海市政府采购实施办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于进一步规范政府采购评审工作有关问题的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于进一步规范政府采购评审工作有关问题的通知', '财政部关于印发《政府采购评审专家管理办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
哪些政府采购信息需要由采购人或者其委托的采购代理机构负责公开？,"['财政部关于做好政府采购信息公开工作的通知', '上海市政府采购实施办法', '财政部关于做好政府采购信息公开工作的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于开展政府采购意向公开工作的通知', '政府采购信息发布管理办法', '财政部关于做好政府采购信息公开工作的通知', '财政部关于做好政府采购信息公开工作的通知', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '政府采购信息发布管理办法']",财政部关于做好政府采购信息公开工作的通知,True,0
中央和地方预算单位的政府采购信息应分别在哪些媒体上公开？,"['财政部关于做好政府采购信息公开工作的通知', '财政部办公厅关于印发《政府采购公告和公示信息格式规范(2020年版)》的通知', '财政部关于开展政府采购意向公开工作的通知', '政府采购信息发布管理办法', '国务院办公厅关于推进公共资源配置领域政府信息公开的意见', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '政府采购信息发布管理办法', '财政部关于做好政府采购信息公开工作的通知', '财政部关于开展政府采购意向公开工作的通知']",财政部关于做好政府采购信息公开工作的通知,True,0
预算金额在500万元以上的地方采购项目信息如何进行公开？,"['财政部关于做好政府采购信息公开工作的通知', '上海市人民政府办公厅关于印发《上海市推进公共资源配置领域政府信息公开工作实施方案》的通知', '上海市财政局关于印发《上海市创新产品政府首购和订购实施办法》的通知(2017)', '财政部办公厅关于印发《政府采购公告和公示信息格式规范(2020年版)》的通知', '财政部关于开展政府采购意向公开工作的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于开展政府采购意向公开工作的通知']",财政部关于做好政府采购信息公开工作的通知,True,0
拍卖企业在举办拍卖活动时，公告发布的时间和媒体选择有哪些具体要求？,"['═\n【司法拍卖】上海市公共资源拍卖中心关于进一步做好网络拍卖工作的重点提示', '拍卖术语', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '最高人民法院关于人民法院网络司法拍卖若干问题的规定', '不动产拍卖规程', '【司法拍卖】上海市公共资源拍卖中心进场拍卖申请拍卖厅管理办法', '机动车拍卖规程', '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', '拍卖管理办法', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法']",拍卖管理办法,True,8
拍卖企业在拍卖会前展示拍卖标的的具体要求是什么？,"['文物艺术品拍卖规程', '拍卖术语', '═\n【司法拍卖】上海市公共资源拍卖中心关于进一步做好网络拍卖工作的重点提示', '拍卖术语', '机动车拍卖规程', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '【司法拍卖】上海市公共资源拍卖中心拍卖当事人应当遵守的拍卖规则', '不动产拍卖规程', '拍卖管理办法', '【司法拍卖】上海市公共资源拍卖中心进场拍卖申请拍卖厅管理办法']",拍卖管理办法,True,8
拍卖企业在处理拍卖标的的来源和瑕疵问题时，有哪些责任和义务？,"['拍卖管理办法', '═\n【司法拍卖】上海市公共资源拍卖中心关于进一步做好网络拍卖工作的重点提示', '拍卖术语', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '中华人民共和国拍卖法', '拍卖管理办法', '【司法拍卖】上海市公共资源拍卖监督管理委员会上海市公共资源拍卖实施办法', '中华人民共和国拍卖法']",拍卖管理办法,True,0
在拍卖标的受让人有特别规定的情况下，拍卖企业和委托人分别有哪些注意事项？,"['【司法拍卖】上海市公共资源拍卖中心拍卖当事人应当遵守的拍卖规则', '上海市国资委、市工商局、市产管办关于印发《上海市产权交易市场管理办法实施细则》的通知(2009年修订)', '机动车拍卖规程', '拍卖术语', '拍卖管理办法', '不动产拍卖规程', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', '拍卖术语', '【技术交易】上海技术交易所竞价交易（拍卖）实施办法（草拟）']",拍卖管理办法,True,4
在进行上市公司股份直接协议转让时，转让方需要履行哪些内部决策程序？,"['金融企业国有资产转让管理办法', '【产权交易】上海联合产权交易所有限公司产权转让网络竞价实施办法（沪联产交〔2018〕47号）', '【产权交易】上海联合产权交易所有限公司股东行使优先购买权操作指引（沪联产交〔2019〕55号）', '上市公司国有股权监督管理办法', '【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号)', '上市公司国有股权监督管理办法', '【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）', '金融企业国有资产转让管理办法', '企业国有资产交易监督管理办法', '上海市国资委、市工商局、市产管办关于印发《上海市产权交易市场管理办法实施细则》的通知(2009年修订)']",金融企业国有资产转让管理办法,True,0
转让方在向财政部门提交直接协议转让上市公司股份的材料时，需要包含哪些具体内容？,"['金融企业国有资产转让管理办法', '【技术交易】上海技术交易所交易暂行规则（草拟）', '上市公司国有股权监督管理办法', '【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号)', '上市公司国有股权监督管理办法', '【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '上市公司国有股权监督管理办法']",金融企业国有资产转让管理办法,True,0
财政部门在收到转让方提交的直接协议转让上市公司股份材料后，需要在多长时间内给予答复？,"['金融企业国有资产转让管理办法', '【技术交易】上海技术交易所交易暂行规则（草拟）', '上海市国资委、市工商局、市产管办关于印发《上海市产权交易市场管理办法实施细则》的通知(2009年修订)', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号)', '上市公司国有股权监督管理办法', '上市公司国有股权监督管理办法', '【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）', '金融企业国有资产转让管理办法', '财政部关于印发《金融企业非上市国有产权交易规则》的通知']",金融企业国有资产转让管理办法,True,0
在哪些情况下，转让方可以不披露上市公司股份协议转让信息？,"['金融企业国有资产转让管理办法', '【产权交易】上海联合产权交易所有限公司项目意向信息披露操作细则（试行）（沪联产交〔2019〕70号）', '【技术交易】上海技术交易所交易暂行规则（草拟）', '【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）', '【产权交易】上海联合产权交易所有限公司企业国有产权转让披露信息操作细则（沪联产交〔2018〕41号）', '【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号)', '上市公司国有股权监督管理办法', '【产权交易】上海联合产权交易所有限公司企业国有产权转让受理转让申请操作细则（沪联产交〔2020〕46号）', '【产权交易】上海联合产权交易所有限公司企业国有产权转让受理转让申请操作细则（沪联产交〔2020〕46号）', '【产权交易】上海联合产权交易所有限公司股东行使优先购买权操作指引（沪联产交〔2019〕55号）']",金融企业国有资产转让管理办法,True,0
拍卖企业在进行拍卖活动时，需要遵循哪些基本原则？,"['拍卖术语', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '拍卖术语', '拍卖管理办法', '【司法拍卖】上海市公共资源拍卖中心拍卖当事人应当遵守的拍卖规则', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '不动产拍卖规程', '不动产拍卖规程', '中华人民共和国拍卖法', '网络拍卖规程']",拍卖管理办法,True,3
企业申请取得从事拍卖业务的许可，需要满足哪些条件？,"['拍卖管理办法', '拍卖术语', '上海市商务委员会', '机动车拍卖规程', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '【司法拍卖】上海市公共资源拍卖中心进场拍卖申请拍卖厅管理办法', '拍卖管理办法', '拍卖管理办法', '拍卖管理办法', '上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知']",拍卖管理办法,True,0
哪些拍卖活动需要由依法取得从事拍卖业务许可的企业进行？,"['拍卖管理办法', '拍卖术语', '中华人民共和国拍卖法', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '拍卖管理办法', '拍卖管理办法', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '文物艺术品拍卖规程', '【司法拍卖】上海市公共资源拍卖中心国有资产拍卖实施规则', '网络拍卖规程']",拍卖管理办法,True,0
什么是《拍卖管理办法》所称的拍卖企业？,"['拍卖管理办法', '拍卖术语', '═\n【司法拍卖】上海市公共资源拍卖中心关于进一步做好网络拍卖工作的重点提示', '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', '拍卖术语', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '中华人民共和国拍卖法', '【司法拍卖】上海市公共资源拍卖中心公拍网网络同步拍卖信息系统运行管理办法', '不动产拍卖规程', '拍卖管理办法']",拍卖管理办法,True,0
拍卖行业的监督管理由哪个部门负责？,"['拍卖监督管理办法', '企业国有资产交易监督管理办法', '国土资源部、监察部关于落实工业用地招标拍卖挂牌出让制度有关问题的通知', '上海市商务委员会', '艺术品经营管理办法', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '═\n【司法拍卖】上海市公共资源拍卖中心关于进一步做好网络拍卖工作的重点提示', '中华人民共和国拍卖法', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '拍卖管理办法']",拍卖管理办法,True,9
中标结果公布后，还需要再次公告之前的采购文件吗？,"['财政部关于做好政府采购信息公开工作的通知', '招标公告和公示信息发布管理办法', '上海市建设工程招标投标管理办法', '中华人民共和国政府采购法实施条例', '政府采购货物和服务招标投标管理办法', '财政部关于做好政府采购信息公开工作的通知', '招标公告和公示信息发布管理办法', '电子招标投标办法', '招标公告和公示信息发布管理办法', '铁路工程建设项目招标投标管理办法']",财政部关于做好政府采购信息公开工作的通知,True,0
如果招标文件需要修改，应该如何通知潜在供应商？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '招标公告和公示信息发布管理办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '工程建设项目货物招标投标办法', '工程建设项目货物招标投标办法', '政府采购非招标采购方式管理办法', '公路工程建设项目招标投标管理办法', '政府采购非招标采购方式管理办法']",财政部关于做好政府采购信息公开工作的通知,True,4
招标文件修改后，通知潜在供应商的时间有何要求？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '招标公告和公示信息发布管理办法', '工程建设项目货物招标投标办法', '政府采购非招标采购方式管理办法', '政府采购非招标采购方式管理办法', '房屋建筑和市政基础设施工程施工招标投标管理办法', '公路工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法']",财政部关于做好政府采购信息公开工作的通知,True,2
政府采购合同签订后，多久内需要公告？,"['财政部关于做好政府采购信息公开工作的通知', '财政部办公厅关于印发《政府采购公告和公示信息格式规范(2020年版)》的通知', '中华人民共和国政府采购法', '财政部关于做好政府采购信息公开工作的通知', '财政部关于做好政府采购信息公开工作的通知', '招标公告和公示信息发布管理办法', '政府采购货物和服务招标投标管理办法', '政府采购非招标采购方式管理办法', '财政部关于开展政府采购意向公开工作的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于做好政府采购信息公开工作的通知,True,0
政府采购合同中涉及个人隐私的信息可以公开吗？,"['财政部关于做好政府采购信息公开工作的通知', '上海市人民政府办公厅关于印发《上海市推进公共资源配置领域政府信息公开工作实施方案》的通知', '中华人民共和国政府采购法', '财政部关于做好政府采购信息公开工作的通知', '财政部关于印发《政府采购评审专家管理办法》的通知', '中华人民共和国政府采购法实施条例', '国务院办公厅关于推进公共资源配置领域政府信息公开的意见', '财政部关于做好政府采购信息公开工作的通知', '财政部关于做好政府采购信息公开工作的通知', '财政部关于做好政府采购信息公开工作的通知']",财政部关于做好政府采购信息公开工作的通知,True,0
如果转让方或转让标的企业在国有资产转让过程中违规，会受到哪些处罚？,"['金融企业国有资产转让管理办法', '【司法拍卖】上海市公共资源拍卖中心国有资产拍卖实施规则', '【产权交易】上海联合产权交易所有限公司权重报价操作细则（试行）（沪联产交〔2019〕65号）', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '上市公司国有股权监督管理办法', '国务院国有资产监督管理委员会关于印发《企业国有产权交易操作规则》的通知', '国有资产评估管理若干问题的规定', '企业国有资产交易监督管理办法', '企业国有资产交易监督管理办法', '金融企业国有资产转让管理办法']",金融企业国有资产转让管理办法,True,0
社会中介机构在国有资产转让过程中违规执业，会受到哪些处理？,"['金融企业国有资产转让管理办法', '【司法拍卖】上海市公共资源拍卖中心司法委托拍卖运行管理制度', '中华人民共和国资产评估法', '【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）', '中华人民共和国企业国有资产法', '拍卖管理办法', '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', '国有资产评估管理办法', '事业单位国有资产管理暂行办法', '【司法拍卖】上海市公共资源拍卖中心国有资产拍卖实施规则']",金融企业国有资产转让管理办法,True,0
金融企业国有资产转让的主要目的是什么？,"['金融企业国有资产转让管理办法', '上海市国有资产监督管理委员会关于印发《本市国有企业混合所有制改制操作指引(试行)》的通知', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '国资委关于促进企业国有产权流转有关事项的通知', '财政部关于进一步明确国有金融企业增资扩股股权管理有关问题的通知', '上海市国有资产监督管理委员会关于印发《上海市企业境外国有资产监督管理暂行办法》的通知']",金融企业国有资产转让管理办法,True,0
哪些资产属于金融企业国有资产？,"['财政部关于印发《金融企业非上市国有产权交易规则》的通知', '中华人民共和国企业国有资产法', '财政部关于进一步明确国有金融企业增资扩股股权管理有关问题的通知', '上海市国有资产监督管理委员会关于印发《本市国有企业混合所有制改制操作指引(试行)》的通知', '上海市企业国有资产产权界定暂行办法', '金融企业国有资产转让管理办法', '财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见', '上海市国有资产监督管理委员会关于印发《上海市企业境外国有资产监督管理暂行办法》的通知', '金融企业国有资产转让管理办法', '企业国有资产监督管理暂行条例']",金融企业国有资产转让管理办法,True,5
金融企业国有资产转让具体包括哪些类型？,"['金融企业国有资产转让管理办法', '【产权交易】上海联合产权交易所有限公司非公开协议转让项目登记操作细则（试行）（沪联产交〔2019〕63号）', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '上海市国资委关于印发《上海市企业国有产权无偿划转暂行办法》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知']",金融企业国有资产转让管理办法,True,0
在进行金融企业国有资产转让前，需要满足什么条件？,"['财政部关于印发《金融企业非上市国有产权交易规则》的通知', '上海市国资委、市工商局、市产管办关于印发《上海市产权交易市场管理办法实施细则》的通知(2009年修订)', '上海市国资委关于印发《上海市企业国有产权无偿划转暂行办法》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法', '上市公司国有股权监督管理办法', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '金融企业国有资产转让管理办法', '金融企业国有资产转让管理办法']",金融企业国有资产转让管理办法,True,3
金融企业国有资产转让的监督管理由哪个部门负责？,"['金融企业国有资产转让管理办法', '地方国有资产监管工作指导监督办法', '企业国有资产交易监督管理办法', '国务院国有资产监督管理委员会、财政部、国家发展和改革委员会、监察部、国家工商行政管理总局、中国证券监督管理委员会关于做好企业国有产权转让监督检查工作的通知', '财政部关于印发《金融企业非上市国有产权交易规则》的通知', '企业国有资产监督管理暂行条例', '金融企业国有资产转让管理办法', '上海市国有资产监督管理委员会关于印发《上海市企业境外国有资产监督管理暂行办法》的通知', '企业国有资产交易监督管理办法', '国务院办公厅关于加强和改进企业国有资产监督防止国有资产流失的意见']",金融企业国有资产转让管理办法,True,0
在政务信息系统采购中，如果项目既包含货物又包含服务，价格分值的比重应如何确定？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '中华人民共和国政府采购法', '政府采购货物和服务招标投标管理办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '政府购买服务管理办法', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
在政务信息系统采购评审中，如果某供应商报价明显低于其他供应商，评标委员会应如何处理？,"['财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市政府采购实施办法', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '评标委员会和评标方法暂行规定', '上海市财政局关于印发《上海市政府采购协议采购网上供货管理办法》的通知(2017)', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '中华人民共和国政府采购法实施条例', '财政部关于进一步规范政府采购评审工作有关问题的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,2
采购人在组织政务信息系统项目验收时，需要遵循哪些规定？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '政府采购非招标采购方式管理办法', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '财政部关于做好政府采购信息公开工作的通知', '上海市政府采购实施办法', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
采购人能否与政务信息系统运行维护供应商签订超过三年的政府采购合同？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '政府采购非招标采购方式管理办法', '上海市财政局关于延长《上海市电子政府采购管理暂行办法》有效期限的通知(2018)', '财政部关于做好政府采购信息公开工作的通知', '上海市政府采购实施办法', '政府购买服务管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
政务信息系统政府采购工作的具体实施由哪个部门负责？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于开展政府采购意向公开工作的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '中华人民共和国政府采购法实施条例', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '上海市人民政府办公厅关于本市进一步加强政府采购管理工作的实施意见', '上海市财政局关于印发《上海市政府采购集中采购机构监督考核管理办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
在确定政务信息系统采购需求时，采购人需要依据哪些文件和实际需求？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于开展政府采购意向公开工作的通知', '中华人民共和国政府采购法实施条例', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
哪些类型的系统属于政务信息系统的范畴？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '国务院关于印发社会信用体系建设规划纲要（2014-2020年）的通知', '上海市城乡建设和管理委员会关于启用建设工程电子招标投标办事信息系统的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '国务院办公厅关于印发整合建立统一的公共资源交易平台工作方案的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '国家发展和改革委员会、工业和信息化部、住房和城乡建设部等关于进一步规范电子招标投标系统建设运营的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
政务信息系统采购需求具体需要包含哪些内容？,"['财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于做好政府采购信息公开工作的通知', '国家发展改革委办公厅关于印发《公共资源交易平台服务标准(试行)》的通知', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于开展政府采购意向公开工作的通知', '财政部关于加强政府采购活动内部控制管理的指导意见', '财政部关于印发《政务信息系统政府采购管理暂行办法》的通知', '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知']",财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,True,0
