问题,意图分类,标签真值,提取的实体
“高级成像与表面形貌分析用多功能共聚焦显微镜”项目的最高限价是多少？,商品数据,招标中标信息,['高级成像与表面形貌分析用多功能共聚焦显微镜']
“沉积物粒度组成和年代测试”项目的采购人代理人名称是什么？,日常问题,招标中标信息,['代理人名称']
“浦东新区南汇新城镇社区卫生服务中心CT机”项目是否有特定的资格要求？,商品数据,招标中标信息,"['浦东新区', ' 南汇新城镇', ' 社区卫生服务中心', ' CT机', ' 项目', ' 特定的资格要求']"
“颗粒纳米生物检测仪”项目的预算金额是多少？,日常问题,招标中标信息,['颗粒纳米生物检测仪']
“高端便携式彩色多普勒超声诊断仪”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,"['高端便携式彩色多普勒超声诊断仪', ' 项目', ' 采购人代理人', ' 地址']"
“细胞器精准提取分析系统”项目的联系人电话是什么？,日常问题,招标中标信息,"['项目名称', ' 联系人电话']"
“上海交通大学医学院动物手术实验室设备等采购项目”的预算金额是多少？,商品数据,招标中标信息,"['上海交通大学医学院', ' 上海交通大学医学院动物手术实验室', ' 动物手术实验室', ' 设备', ' 购买', ' 项目', ' 预算金额']"
“中国福利会国际和平妇幼保健院2024年医疗设备（四）”项目的包名称是什么？,日常问题,招标中标信息,"['中国福利会国际和平妇幼保健院', '2024年医疗设备（四）', '项目']"
“层析成像扫描仪配件升级”项目的采购人联系方式是什么？,商品数据,招标中标信息,['项目，采购，联系']
“徐汇区城运中心-区公安分局2024年度350兆PDT系统建设”项目的预算金额是多少？,招标中标信息,招标中标信息,"['徐汇区', '城运中心', '区公安分局', '2024年度', '350兆', 'PDT系统建设', '项目预算金额']"
“公卫中心开办设备第一批”项目的采购人代理人名称是什么？,商品数据,招标中标信息,"['公卫中心', ' 设备', ' 批发', ' 开办', ' 第一批']"
“高精度地图创新应用保障技术性支撑和地图成果技术审查”项目的联系人是谁？,日常问题,招标中标信息,"['联系人', ' 高精度地图', ' 创新应用', ' 保障技术性支撑', ' 地图成果', ' 技术审查', ' 项目']"
“触控一体机更新项目（二）”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,['项目采购人代理人地址']
“上海健康医学院附属崇明医院医疗设备采购”项目的包名称是什么？,日常问题,招标中标信息,['上海健康医学院附属崇明医院医疗设备采购项目']
“2024年青浦区卫健委医疗设备采购项目三（2）”项目的预算金额是多少？,招标中标信息,招标中标信息,"['青浦区卫健委', ' 医疗设备采购项目三(2)']"
“设备-彩色超声诊断仪”项目的采购人代理人联系方式是什么？,商品数据,招标中标信息,"['设备-彩色超声诊断仪', ' 项目', ' 购买人', ' 代理', ' 联系方式']"
“上海交通大学医学院附属上海儿童医学中心 医疗设备项目”的联系人电话是什么？,商品数据,招标中标信息,"['上海交通大学医学院附属上海儿童医学中心', ' 医疗设备项目']"
“直线加速器（第二次）”项目的采购人地址在哪里？,招标中标信息,招标中标信息,['项目，直线加速器，第二次，采购人地址']
“嘉定卫生信息服务采购项目”的预算金额是多少？,商品数据,招标中标信息,"['嘉定', ' 卫生服务', ' 采购', ' 项目', ' 预算金额', ' 是多少']"
“上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统 ）”项目的采购人代理人名称是什么？,商品数据,招标中标信息,['上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统）']
“多功能全自动蛋白质表达定量分析系统”项目的采购人联系方式是什么？,日常问题,招标中标信息,"['多功能全自动蛋白质表达定量分析系统', ' 购买者', ' 联系方式']"
“流式细胞分析/分选仪”项目的预算金额是多少？,商品数据,招标中标信息,"['流式细胞分析/分选仪', ' 预算金额']"
“超声外科吸引系统”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,['项目，采购人代理人，地址']
“一体式大平板C型臂”项目的联系人是谁？,日常问题,招标中标信息,"['一体式大平板', 'C型臂']"
“外科腹腔镜超声”项目的采购人代理人名称是什么？,商品数据,招标中标信息,['外科腹腔镜超声']
“3.0T核磁共振”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,"['项目名称', '采购人联系方式']"
“月浦镇农村房地一体宅基地确权登记项目”的预算金额是多少？,商品数据,招标中标信息,"['月浦镇', '农村房地一体宅基地确权登记项目', '预算金额']"
“第七人民医院钬激光治疗机项目”的采购人代理人地址在哪里？,商品数据,招标中标信息,"['第七人民医院', ' 钬激光治疗机项目', ' 采购人代理人']"
“辐射抗扰度测试系统”项目的联系人电话是什么？,日常问题,招标中标信息,['联系人电话']
“特种光纤化学气相沉积材料生长系统”项目的采购人名称是什么？,日常问题,招标中标信息,"['项目名称', ' 特种光纤', ' 化学气相沉积材料', ' 生长系统', ' 采购人名称']"
“高档彩色多普勒超声诊断仪”项目的预算金额是多少？,日常问题,招标中标信息,"['高档彩色多普勒超声诊断仪', ' 预算金额']"
“朱家角人民医院医用超声波仪器及设备项目”的采购人代理人名称是什么？,招标中标信息,招标中标信息,"['朱家角人民医院', ' 医院', ' 人民医院', ' 医疗器械', ' 超声波仪器及设备', ' 采购', ' 采购人代理人', ' 名称', ' 项目', ' 项目名称', ' 项目编号', ' 项目编号', ' 项目地址', ' 地址']"
“振动样品磁强计装备”项目的采购人联系方式是什么？,商品数据,招标中标信息,['振动样品磁强计装备']
“上海市精神卫生中心流式细胞仪项目”的预算金额是多少？,商品数据,招标中标信息,"['上海市精神卫生中心', ' 流式细胞仪项目', ' 预算金额']"
“社保队员第三方购买服务项目”的采购人代理人地址在哪里？,商品数据,招标中标信息,"['社保队员', ' 第三方', ' 购买服务项目', ' 采购人代理人']"
“上海市养志康复医院（上海市阳光康复中心）虚拟现实康复训练系统”项目的联系人是谁？,日常问题,招标中标信息,"['上海市养志康复医院', ' 上海市阳光康复中心', ' 虚拟现实康复训练系统', ' 联系人']"
“上海市第一人民医院重症医学病房建设项目（五）”项目的采购人代理人名称是什么？,日常问题,招标中标信息,"['上海市第一人民医院', ' 重症医学病房建设项目(五)', ' 项目', ' 采购人代理人名称']"
“采购三重四级杆气相色谱质谱联用仪”项目的采购人代理人联系方式是什么？,商品数据,招标中标信息,"['采购人代理人', ' 联想天工科技有限公司', ' 联系方式']"
“数字倒置荧光显微镜”项目的采购人地址在哪里？,日常问题,招标中标信息,"['数字倒置荧光显微镜', ' 项目采购人地址']"
“手术显微镜（含自筹）”项目的联系人电话是什么？,商品数据,招标中标信息,['手术显微镜（含自筹）、项目、联系人电话']
“上海市老年医学中心开办项目-痕量分子靶标检测系统、流式细胞仪”项目的预算金额是多少？,商品数据,招标中标信息,"['上海市老年医学中心开办项目', '痕量分子靶标检测系统、流式细胞仪', '预算金额']"
“罗泾社区卫生服务中心X射线计算机体层摄影（CT）设备采购”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,"['罗泾社区卫生服务中心', ' CT设备采购']"
“皮秒激光仪”项目的采购人联系方式是什么？,商品数据,招标中标信息,"['皮秒激光仪', '采购人', '联系方式']"
“生物分子相互作用分析系统”项目的预算金额是多少？,商品数据,招标中标信息,"[""['项目'"", "" '生物分子相互作用分析系统']""]"
“高级成像与表面形貌分析用多功能共聚焦显微镜”项目的采购人代理人地址在哪里？,招标中标信息,招标中标信息,"['项目名称', ' 共聚焦显微镜', ' 购买方代理人', ' 地址']"
“沉积物粒度组成和年代测试”项目的联系人是谁？,日常问题,招标中标信息,"['项目名称', ' 粒度组成', ' 年代测试', ' 联系人']"
“浦东新区南汇新城镇社区卫生服务中心CT机”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,"['浦东新区南汇新城镇社区卫生服务中心', ' CT机', ' 浦东新区', ' 南汇新城镇社区卫生服务中心', ' 海口市人民医院', ' 青岛大学附属医院', ' 上海市第十人民医院', ' 医院', ' 项目', ' 购买', ' 采购人代理人', ' 采购代理机构', ' 供应商', ' 区域', ' 地址']"
“颗粒纳米生物检测仪”项目的采购人联系方式是什么？,商品数据,招标中标信息,"['颗粒纳米生物检测仪', ' 项目采购', ' 联系方式']"
“高端便携式彩色多普勒超声诊断仪”项目的预算金额是多少？,商品数据,招标中标信息,['高端，便携式，彩色多普勒超声诊断仪，项目，预算金额']
“细胞器精准提取分析系统”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,"['项目名称', ' 采购人代理人']"
“上海交通大学医学院动物手术实验室设备等采购项目”项目的联系人电话是什么？,商品数据,招标中标信息,"['上海交通大学医学院', ' 医学院', ' 动物手术实验室', ' 设备等采购项目', ' 上海交通大学', ' 上海交通大学医学院动物手术实验室']"
“中国福利会国际和平妇幼保健院2024年医疗设备（四）”项目的采购人名称是什么？,日常问题,招标中标信息,['中国福利会国际和平妇幼保健院2024年医疗设备（四）']
“层析成像扫描仪配件升级”项目的预算金额是多少？,日常问题,招标中标信息,"['层析成像扫描仪配件升级', ' 预算金额']"
“徐汇区城运中心-区公安分局2024年度350兆PDT系统建设”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,"['徐汇区城运中心', ' 区公安分局', ' 2024年度350兆PDT系统建设', ' 项目', ' 采购人代理人']"
“公卫中心开办设备第一批”项目的采购人联系方式是什么？,招标中标信息,招标中标信息,"['公卫中心', ' 开办设备', ' 第一批项目', ' 采购']"
“高精度地图创新应用保障技术性支撑和地图成果技术审查”项目的预算金额是多少？,招标中标信息,招标中标信息,"['项目名称', ' 预算金额']"
“触控一体机更新项目（二）”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,['项目，采购人代理人地址']
“上海健康医学院附属崇明医院医疗设备采购”项目的联系人是谁？,招标中标信息,招标中标信息,"['上海健康医学院', '崇明医院', '医疗设备采购', '联系人']"
“2024年青浦区卫健委医疗设备采购项目三（2）”项目的采购人代理人名称是什么？,招标中标信息,招标中标信息,"['青浦区卫健委', ' 医疗设备采购项目', ' 2024年', ' 项目三(2)']"
“设备-彩色超声诊断仪”项目的采购人联系方式是什么？,日常问题,招标中标信息,"['设备-彩色超声诊断仪', ' 项目名称', ' 采购人联系方式']"
“上海交通大学医学院附属上海儿童医学中心 医疗设备项目”项目的预算金额是多少？,商品数据,招标中标信息,"['上海交通大学医学院附属上海儿童医学中心', ' 医疗设备项目', ' 预算金额']"
“直线加速器（第二次）”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,"['项目名称', ' 代理人的地址', ' 直线加速器(第二次)']"
“嘉定卫生信息服务采购项目”项目的联系人电话是什么？,日常问题,招标中标信息,"['嘉定卫生信息服务采购项目', ' 联系人', ' 电话']"
“上海市中医医院嘉定院区设备物资开办（超声引导激光消融治疗系统 ）”项目的采购人名称是什么？,商品数据,招标中标信息,"['上海市中医医院嘉定院区', ' 超声引导激光消融治疗系统', ' 系统']"
“多功能全自动蛋白质表达定量分析系统”项目的预算金额是多少？,商品数据,招标中标信息,"['多功能全自动蛋白质表达定量分析系统', ' 项目', ' 预算金额']"
“流式细胞分析/分选仪”项目的采购人代理人名称是什么？,日常问题,招标中标信息,['流式细胞分析/分选仪项目采购人代理人名称']
“超声外科吸引系统”项目的采购人联系方式是什么？,日常问题,招标中标信息,"['超声外科吸引系统', ' 购买者联系方式']"
“一体式大平板C型臂”项目的预算金额是多少？,商品数据,招标中标信息,"['一体式大平板', 'C型臂']"
“外科腹腔镜超声”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,['外科腹腔镜超声']
“3.0T核磁共振”项目的联系人是谁？,商品数据,招标中标信息,['核磁共振']
“月浦镇农村房地一体宅基地确权登记项目”项目的采购人代理人名称是什么？,日常问题,招标中标信息,"['月浦镇', '农村房地一体宅基地确权登记项目', '采购人代理人名称']"
“第七人民医院钬激光治疗机项目”的采购人联系方式是什么？,商品数据,招标中标信息,"['第七人民医院', ' 钬激光治疗机项目', ' 联系方式']"
“辐射抗扰度测试系统”项目的预算金额是多少？,日常问题,招标中标信息,"['辐射抗扰度测试系统', ' 预算金额', ' 是']"
“特种光纤化学气相沉积材料生长系统”项目的采购人代理人地址在哪里？,日常问题,招标中标信息,"['特种光纤', ' 化学气相沉积材料', ' 生长系统', ' 项目', ' 采购人', ' 代理人的地址']"
“高档彩色多普勒超声诊断仪”项目的联系人电话是什么？,日常问题,招标中标信息,"['高档彩色多普勒超声诊断仪', ' 联系人', ' 电话']"
“朱家角人民医院医用超声波仪器及设备项目”项目的采购,招标中标信息,招标中标信息,"['朱家角人民医院', ' 医院名称', ' 人民医院', ' 医疗用品', ' 超声波仪器及设备', ' 项目', ' 项目']"
你好！,日常问题,日常问题,['[你好]']
你好，今天天气怎么样？,日常问题,日常问题,['天气']
早上好！,日常问题,日常问题,['[早上好]']
你能告诉我现在的时间吗？,日常问题,日常问题,['时间']
周末有什么计划吗？,日常问题,日常问题,['周末，计划，什么，吗？']
你能推荐几本好书吗？,日常问题,日常问题,['书籍']
今天的工作忙不忙？,日常问题,日常问题,['工作']
你了解最新的科技趋势吗？,日常问题,日常问题,['最新，科技，趋势，了解，吗']
你能教我几句常用的外语表达吗？,日常问题,日常问题,['外语表达']
你最喜欢的电影是什么？,日常问题,日常问题,['电影']
你能帮我查一下明天的天气预报吗？,日常问题,日常问题,"['明天', ' 天气', ' 预报']"
你能告诉我一些健康饮食的建议吗？,日常问题,日常问题,['健康饮食']
你了解当前的股市行情吗？,日常问题,日常问题,['股市行情']
你能帮我找一首轻松的音乐吗？,日常问题,日常问题,['轻松的音乐']
你有什么兴趣爱好？,日常问题,日常问题,['兴趣爱好']
你能推荐一些旅行的好去处吗？,日常问题,日常问题,['旅行，好去处']
你能教我如何缓解压力吗？,日常问题,日常问题,['压力']
你能帮我查一下最近的新闻头条吗？,日常问题,日常问题,"['最近', ' 新闻', ' 头条']"
你能告诉我一些关于月亮的有趣事实吗？,日常问题,日常问题,['月亮']
你了解人工智能的最新发展吗？,日常问题,日常问题,['人工智能']
你能帮我找一些学习资源吗？,日常问题,日常问题,['学习资源']
你能推荐一些提高工作效率的方法吗？,日常问题,日常问题,['提高工作效率的方法']
你能帮我查一下航班信息吗？,日常问题,日常问题,['航班']
你能告诉我一些关于宇宙的有趣知识吗？,日常问题,日常问题,"['宇宙', ' 有趣知识']"
你了解不同的文化习俗吗？,日常问题,日常问题,['不同，文化，习俗，你，了解，不同的，文化，习俗吗？']
你能帮我找一些放松的瑜伽视频吗？,日常问题,日常问题,['瑜伽视频']
你能推荐一些周末的活动吗？,日常问题,日常问题,"['周末', '活动']"
你能告诉我一些关于环保的小知识吗？,日常问题,日常问题,['环保']
你了解最新的医疗健康资讯吗？,日常问题,日常问题,['最新医疗健康资讯']
你能帮我找一些提高睡眠质量的方法吗？,日常问题,日常问题,['提高睡眠质量']
你能推荐一些有趣的播客节目吗？,日常问题,日常问题,['播客节目']
你能告诉我一些关于历史的有趣故事吗？,日常问题,日常问题,['历史']
你了解不同的星座性格吗？,日常问题,日常问题,['星座']
你能帮我找一些学习编程的资源吗？,日常问题,日常问题,"['学习编程', ' 资源']"
你能推荐一些提高记忆力的技巧吗？,日常问题,日常问题,"['提高记忆力', ' 技巧']"
你能告诉我一些关于植物养护的知识吗？,日常问题,日常问题,['植物养护']
你了解不同的艺术风格吗？,日常问题,日常问题,['不同，艺术，风格']
你能帮我找一些家庭健身的指导吗？,日常问题,日常问题,"['家庭健身', ' 指导']"
你能推荐一些提高专注力的方法吗？,日常问题,日常问题,['提高专注力的方法']
你能告诉我一些关于动物的有趣事实吗？,日常问题,日常问题,"['动物', '有趣事实']"
你了解不同的烹饪技巧吗？,日常问题,日常问题,['不同烹饪技巧']
你能帮我找一些学习语言的应用程序吗？,日常问题,日常问题,['应用程序']
你能推荐一些提高自信心的技巧吗？,日常问题,日常问题,"['提高自信心', ' 提高自信心的技巧']"
你能告诉我一些关于心理学的知识吗？,日常问题,日常问题,['心理学']
你了解不同的建筑风格吗？,日常问题,日常问题,"['不同', ' 建筑风格']"
你能帮我找一些提高创造力的方法吗？,日常问题,日常问题,"['方法', ' 提高创造力', ' 创造力', ' 能帮助']"
你能推荐一些提高阅读速度的技巧吗？,日常问题,日常问题,['提高阅读速度的技巧']
你能告诉我一些关于海洋生物的有趣事实吗？,日常问题,日常问题,"['海洋生物', ' 有趣的事实']"
你了解不同的音乐流派吗？,日常问题,日常问题,['不同音乐流派']
你能帮我找一些提高工作效率的软件吗？,日常问题,日常问题,"['提高工作效率', ' 软件']"
你能推荐一些提高时间管理能力的方法吗？,日常问题,日常问题,['提高时间管理能力']
你能告诉我一些关于天文学的有趣知识吗？,日常问题,日常问题,"['天文', ' 天文学']"
你了解不同的棋类游戏吗？,日常问题,日常问题,['不同，棋类，游戏']
你能帮我找一些提高公共演讲技巧的资源吗？,日常问题,日常问题,"['公共演讲技巧', ' 资源', ' 提高', ' 公共演讲']"
你能推荐一些提高写作技巧的方法吗？,日常问题,日常问题,"['提高写作技巧', ' 方法']"
你能告诉我一些关于古文明的有趣事实吗？,日常问题,日常问题,['古文明']
你了解不同的舞蹈风格吗？,日常问题,日常问题,['舞蹈风格']
你能帮我找一些提高绘画技巧的教程吗？,商品数据,日常问题,['教程']
你能推荐一些提高逻辑思维的方法吗？,日常问题,日常问题,['提高逻辑思维的方法']
你能告诉我一些关于昆虫的有趣知识吗？,日常问题,日常问题,"['昆虫', ' 知识']"
你了解不同的园艺技巧吗？,日常问题,日常问题,['不同的园艺技巧']
你能帮我找一些提高学习效率的方法吗？,日常问题,日常问题,['提高学习效率的方法']
你能推荐一些提高团队协作能力的方法吗？,日常问题,日常问题,"['提高团队协作能力', ' 方法']"
你能告诉我一些关于鸟类的有趣事实吗？,日常问题,日常问题,['鸟类']
你了解不同的手工艺吗？,日常问题,日常问题,"['不同', ' 手工艺']"
你能帮我找一些提高决策能力的方法吗？,咨询建议,日常问题,"['提高决策能力', ' 方法', ' 提高', ' 能力']"
你能推荐一些提高领导力的技巧吗？,日常问题,日常问题,"['领导力', ' 提高', ' 技巧']"
你能告诉我一些关于地质学的有趣知识吗？,日常问题,日常问题,['地质学']
你了解不同的茶文化吗？,日常问题,日常问题,['不同茶文化']
你能帮我找一些提高情绪管理能力的方法吗？,日常问题,日常问题,"['提高情绪管理能力', ' 方法']"
你能推荐一些提高人际交往能力的方法吗？,日常问题,日常问题,['提高人际交往能力的方法']
你能告诉我一些关于物理学的有趣事实吗？,日常问题,日常问题,"['物理学', ' 有趣', ' 真实']"
你了解不同的咖啡种类吗？,日常问题,日常问题,['不同咖啡种类']
你能帮我找一些提高财务管理能力的方法吗？,日常问题,日常问题,['提高财务管理能力']
你能推荐一些提高自我激励的方法吗？,日常问题,日常问题,['提高自我激励的方法']
你能告诉我一些关于化学的有趣实验吗？,日常问题,日常问题,"['化学', ' 实验']"
你了解不同的酒文化吗？,日常问题,日常问题,['不同酒文化']
你能帮我找一些提高批判性思维的方法吗？,日常问题,日常问题,"['提高批判性思维', ' 方法']"
你能推荐一些提高适应能力的方法吗？,日常问题,日常问题,"['提高适应能力', ' 方法', ' 提高']"
你能告诉我一些关于生物学的有趣知识吗？,日常问题,日常问题,"['生物学', ' 有趣知识']"
你了解不同的摄影技巧吗？,日常问题,日常问题,['不同摄影技巧']
你能帮我找一些提高组织能力的方法吗？,日常问题,日常问题,"['提高组织能力', ' 方法', ' 组织能力']"
你能推荐一些提高解决问题能力的方法吗？,日常问题,日常问题,['提高解决问题能力的方法']
你能告诉我一些关于哲学的有趣思想吗？,日常问题,日常问题,"['哲学', ' 思想']"
你了解不同的时尚趋势吗？,日常问题,日常问题,['不同时尚趋势']
你能帮我找一些提高创新能力的方法吗？,日常问题,日常问题,"['创新能力', ' 提高创新能力']"
你能推荐一些提高说服力的技巧吗？,日常问题,日常问题,['提高说服力的技巧']
你能告诉我一些关于数学的有趣问题吗？,日常问题,日常问题,"['数学', ' 有趣']"
你了解不同的电影流派吗？,日常问题,日常问题,['电影流派']
你能帮我找一些提高自我意识的方法吗？,日常问题,日常问题,"['提高自我意识', ' 方法']"
你能推荐一些提高自我反省能力的方法吗？,日常问题,日常问题,['提高自我反省能力的方法']
你能告诉我一些关于政治学的有趣事实吗？,日常问题,日常问题,['政治学']
你了解不同的体育项目吗？,日常问题,日常问题,['不同体育项目']
你能帮我找一些提高身体协调性的方法吗？,日常问题,日常问题,"['提高身体协调性', ' 方法', ' 提高身体协调性的方法', ' 一些']"
你能推荐一些提高反应速度的技巧吗？,日常问题,日常问题,['提高反应速度']
你能告诉我一些关于人类学的有趣知识吗？,日常问题,日常问题,['人类学']
你了解不同的旅行目的地吗？,日常问题,日常问题,['不同，旅行目的地']
你能帮我找一些提高语言能力的方法吗？,日常问题,日常问题,['提高语言能力']
你能推荐一些提高听力理解能力的方法吗？,日常问题,日常问题,['提高听力理解能力的方法']
你能告诉我一些关于社会学的有趣事实吗？,日常问题,日常问题,"['社会学', ' 有趣事实']"
你了解不同的节日庆典吗？,日常问题,日常问题,['节日庆典']
无轨迹等张肌力测试康复训练系统的品牌有哪些？,商品数据,商品数据,"['品牌', ' 肌力测试康复训练系统']"
无轨迹等张肌力测试康复训练系统的产品价格范围是多少？,商品数据,商品数据,['产品价格范围']
无轨迹等张肌力测试康复训练系统的供应商城市有哪些？,商品数据,商品数据,"['供应商', '城市']"
