Question,True_Title,Recalling,Recall_Weight
采购人在收到供应商的质疑函后，应在多长时间内作出答复？,政府采购质疑和投诉办法,1,1
哪些工程项目必须进行公开招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,2
未列入预算的政府购买服务项目能否实施？,政府购买服务管理办法,1,1
采购人或者采购代理机构可以要求供应商以什么形式交纳保证金？,政府采购非招标采购方式管理办法,1,1
交易所需要履行哪些职责来确保碳排放交易的顺利进行？,上海市碳排放管理试行办法,1,8
增资人可以委托哪些机构提供增资活动的相关服务？这些机构需要出具什么报告？,【产权交易】企业增资业务规则（试行）,1,1
供应商申请入库时，财政部门是否可以收取费用？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,0,
如果投标截止后，只有两家供应商提交了投标文件，是否可以进行开标？,政府采购货物和服务招标投标管理办法,1,3
在什么情况下，采购人需要获得财政部门核准后才能采购进口产品？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
若发现有人非法干预政府采购评审过程，应如何处理？,政府采购非招标采购方式管理办法,1,1
如果对单一来源采购方式的公示有异议，应该如何处理？,政府采购非招标采购方式管理办法,1,1
中标通知书发出后，采购人应在多长时间内与中标人签订合同？,政府采购货物和服务招标投标管理办法,1,1
如果在投标有效期内撤销投标文件，投标保证金会被退还吗？,政府采购货物和服务招标投标管理办法,1,2
供应商委托代理人进行质疑和投诉时，授权委托书需要包含哪些内容？,政府采购质疑和投诉办法,1,1
评标过程中，采购人应如何确保评标的保密性？,政府采购货物和服务招标投标管理办法,1,1
如果谈判文件无法详细列明技术和服务要求，谈判结束后如何确定提交最后报价的供应商？,政府采购非招标采购方式管理办法,1,1
采购人及采购代理机构获取的信用信息可以用于哪些范围？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
什么是国家核证自愿减排量，其认定标准是什么？,上海市碳排放管理试行办法,1,1
财政部门在制定资产配置标准时，需要考虑哪些因素？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,3
哪些企业被认定为国有及国有控股企业或国有实际控制企业？,企业国有资产交易监督管理办法,1,2
评标专家库中的专家是否需要接受年度考核？,评标专家和评标专家库管理暂行办法,1,3
投诉人针对废标行为的投诉如果成立，财政部门会如何处理？,政府采购质疑和投诉办法,1,1
未成交供应商的保证金应在何时退还？,政府采购非招标采购方式管理办法,1,2
电子招标投标平台是否可以限制某些市场主体获取招标信息？,电子招标投标办法,1,2
招标人泄露潜在投标人信息或标底，会面临哪些法律责任？,工程建设项目施工招标投标办法,1,2
产权交易凭证上需要包含哪些具体信息？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,1,1
如果发现投标人有恶意串通行为，评标委员会应如何处理？,政府采购货物和服务招标投标管理办法,1,4
采购人向财政部门申请采购进口产品时，需要提交哪些材料？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
如何通过资产管理与预算管理相结合来提高资产使用效率？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
行政事业单位所属企业的国有资本应如何管理？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
申请单位收到交易所通知后，需要在多长时间内完成相关手续？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,1
在什么情况下，工程项目可以不进行施工招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,1
交易中心在公开服务、交易等信息时，有哪些信息是不可以公开的？,上海市公共资源交易管理办法,0,
新建房屋的地下停车库是否可以单独转让？,上海市房地产转让办法,1,2
国有独资企业、国有独资公司企业负责人的薪酬和奖惩如何确定？,企业国有资产监督管理暂行条例,1,1
增资人在增资信息公告期满后，需要在多长时间内提交意向投资人的资格确认意见？,【产权交易】企业增资业务规则（试行）,1,1
供应商、采购代理机构和评审专家的违法失信行为记录公告需要包含哪些信息？,财政部关于做好政府采购信息公开工作的通知,1,1
如果鉴定结论与委托拍卖合同不符，拍卖人可以采取什么措施？,中华人民共和国拍卖法,1,2
在最低评标价法中，若多家投标人提供相同品牌产品且报价相同，如何确定参加评标的投标人？,政府采购货物和服务招标投标管理办法,1,2
金融企业国有资产转让的主要目的是什么？,金融企业国有资产转让管理办法,1,1
采购国家限制进口的重大科学仪器和装备时，需要哪些部门的批准？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
买受人不按时支付拍卖价款会有什么法律责任？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,0,
磋商保证金的交纳形式和金额有何具体规定？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
运营机构在区域性股权市场风险管理方面需要承担哪些职责？,区域性股权市场监督管理试行办法,1,1
哪些特殊情况下可以不进行施工招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,1
政府采购合同签订后，多久内需要公告？,财政部关于做好政府采购信息公开工作的通知,1,1
如果投标报价超过了招标文件规定的最高限价，投标会被判定为无效吗？,政府采购货物和服务招标投标管理办法,1,2
本市公共资源交易是如何实现规范和透明的？,上海市公共资源交易管理办法,1,1
市发展改革部门如何管理碳排放核查的第三方机构？,上海市碳排放管理试行办法,1,1
《增资专项报告》中需要详细说明哪些尽职调查的具体内容？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
交易所需要公开哪些碳排放交易信息？,上海市碳排放管理试行办法,1,5
谈判过程中，谈判小组能否对采购需求中的技术、服务要求及合同草案条款进行实质性变动？,政府采购非招标采购方式管理办法,1,1
在编制资产配置预算时，如何确保标准的科学性和合理性？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,2
国有企业在进行增资时，是否所有增资行为都属于企业国有资产交易？,企业国有资产交易监督管理办法,1,1
招标人确定中标人后，应如何通知中标人和未中标人？,电子招标投标办法,0,
采购货物时，除了竞争性谈判和单一来源采购，还可以采用哪种非招标采购方式？,政府采购非招标采购方式管理办法,1,1
公共资源拍卖平台必须具备哪些功能和设施？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,3
政府采购合同中哪些信息不能作为商业秘密？,财政部关于做好政府采购信息公开工作的通知,1,2
非纸质形式的工作底稿应如何保存？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
划拨国有土地上房地产转让时，受让人需要办理哪些手续？,上海市房地产转让办法,1,1
产权转让项目首次信息披露的转让底价有何要求？,企业国有资产交易监督管理办法,1,2
投标人在中标后可以将项目的非主体工作分包给其他单位吗？,政府采购货物和服务招标投标管理办法,0,
交易主体委托代理机构办理交易时，委托代理协议应该如何签订或上传？,上海市公共资源交易管理办法,0,
投标文件在截止时间后送达会怎样处理？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,1
如果货物或服务采购项目达到公开招标数额标准，但想采用非招标采购方式，需要经过哪些审批程序？,政府采购非招标采购方式管理办法,1,1
如果委托人和拍卖人未约定佣金比例，拍卖成交后佣金如何收取？,中华人民共和国拍卖法,1,1
委托人是否可以参与竞买或委托他人代为竞买？,中华人民共和国拍卖法,1,4
上海市交易中心在收到隔夜评标申请后需要做哪些准备工作？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,1
资格预审结束后，招标人应该如何通知合格的和不合格的潜在投标人？,工程建设项目施工招标投标办法,1,1
供应商在政府采购活动中享有哪些基本权利？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
一个项目的施工单项合同估算价为350万元人民币，是否需要招标？,必须招标的工程项目规定,1,1
在什么条件下，采购人可以与政务信息系统运行维护供应商签订不超过三年的合同？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
行政单位在利用国有资产进行对外担保或投资方面有哪些限制？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
投标人在澄清或说明时，能否超出投标文件的范围或改变其实质性内容？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,3
国有资产监督管理机构在所出资企业收入分配制度改革中扮演什么角色？,企业国有资产监督管理暂行条例,1,1
询价采购中，技术和服务要求不明确会有什么后果？,政府采购非招标采购方式管理办法,1,1
磋商文件的售价应如何确定？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
机构投资者如何申请参与碳排放配额交易？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,1,2
上海市公共资源交易中心中介机构信用记分低于70分时，评估结果和标注颜色是什么？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,1,1
对于参加政府采购活动的供应商、采购代理机构、评审专家的不良行为，相关部门应该如何处理？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,0,
产权转让协议中，转让方如何收取转让价款？,金融企业国有资产转让管理办法,1,2
未缴清全部土地出让价款能否领取国有建设用地使用权证书？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
在行政事业单位资产管理中，财政部门和主管部门应如何加强监管？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
如何评估一家公司的独立性？,【产权交易】企业增资业务受托机构工作指引（试行）,1,2
在尽职调查过程中，受托机构应如何记录和保存工作底稿？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
政务信息系统政府采购工作的具体实施由哪个部门负责？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
中标人将中标项目转让给他人是否合法？会受到什么处罚？,工程建设项目施工招标投标办法,1,8
通过受托机构提交终结申请时，受托机构需要履行什么职责？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
国有及国有控股企业在招投标过程中，需要建立哪些内部监督和风险控制制度？,企业国有资产监督管理暂行条例,0,
上海市公共资源拍卖中心的运作模式是怎样的？,上海市拍卖行业协会关于成立上海市公共资源拍卖中心的请示报告,1,2
如果投标文件解密失败，招标人是否有义务提供补救方案？,电子招标投标办法,1,1
受托机构在管理招投标工作底稿时需要建立哪些制度？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
工程施工招标有哪些主要类型？,工程建设项目施工招标投标办法,1,2
政府采购活动中，供应商的合法权益受到侵害时，可以通过哪些途径进行维权？,政府采购质疑和投诉办法,1,1
电子招标投标交易平台需要具备哪些主要功能？,电子招标投标办法,1,1
如果采购人对资格预审文件进行了修改，距离截止时间只有2天了，需要怎么处理？,政府采购货物和服务招标投标管理办法,1,1
如果竞买人的最高应价未达到底价，拍卖会该如何处理？,招标拍卖挂牌出让国有建设用地使用权规定,1,2
电子招标投标活动具体包括哪些内容？,电子招标投标办法,1,1
评标委员会成员收受投标人的财物，会受到哪些处罚？,工程建设项目施工招标投标办法,1,5
评标委员会的组成人员有哪些要求？,房屋建筑和市政基础设施工程施工招标投标管理办法,0,
在政府采购中，如何实现分工制衡与提升效能的并重？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
交易平台在智慧监管方面需要采取哪些具体措施来确保交易活动的合法性？,上海市公共资源交易管理办法,1,2
水运工程项目设计招标有哪些方式？,水运工程建设项目招标投标管理办法,1,1
国有建设用地使用权的招标、拍卖或挂牌出让活动是否需要提前规划？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
招标代理机构在哪些情况下会被暂停或取消招标代理资格？,评标专家和评标专家库管理暂行办法,0,
碳排放具体包括哪些类型的排放？,上海市碳排放管理试行办法,1,1
提交银行汇票作为投标保证金需要哪些材料？,投标保证金提交与退还操作须知,1,1
市交易中心在确定交易服务收费标准时遵循什么原则？,上海市公共资源交易管理办法,1,1
招标人规避必须进行的施工招标，会受到怎样的法律处罚？,工程建设项目施工招标投标办法,1,3
企业国有资产的具体定义是什么？,企业国有资产监督管理暂行条例,1,2
评审小组成员在评审过程中获悉的商业秘密是否可以对外透露？,政府采购非招标采购方式管理办法,0,
拍卖行业的监督管理由哪个部门负责？,拍卖管理办法,1,3
产权交易双方签订合同并支付相关费用后，联交所多久能出具产权交易凭证？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,1,1
纳入配额管理的单位在申请节能减碳项目融资时，可以享受哪些金融支持？,上海市碳排放管理试行办法,1,2
在撰写投资风险提示时，需要综合考虑哪些方面的专业意见？,【产权交易】企业增资业务受托机构工作指引（试行）,1,3
市发展改革部门需要对哪些活动进行监督管理？,上海市碳排放管理试行办法,0,
招标拍卖挂牌出让结果应在多长时间内公布？,招标拍卖挂牌出让国有建设用地使用权规定,1,3
在什么情况下，依法必须进行公开招标的项目可以采用邀请招标？,工程建设项目施工招标投标办法,1,1
为了提高政府采购效率，采购人、集中采购机构和监管部门应如何处理有时间要求的事项？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
集体所有土地上建成的房屋转让需要满足哪些条件？,上海市房地产转让办法,1,1
上海市公共资源交易中心中介机构信用记分为0分或连续12个月评估不佳，会有什么后果？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,1,1
已经为某政府采购项目提供整体设计的公司，还能参与该项目的其他采购活动吗？,中华人民共和国政府采购法实施条例,1,1
采购人在收到评标报告后，需要在多长时间内确定中标人？,政府采购货物和服务招标投标管理办法,1,1
大中型企业与小型、微型企业组成联合体时，是否存在投资关系有限制吗？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
预售商品房的房地产开发企业在什么条件下可以与受让人办理过户手续？,上海市房地产转让办法,1,1
转让方在向财政部门提交直接协议转让上市公司股份的材料时，需要包含哪些具体内容？,金融企业国有资产转让管理办法,1,1
哪些类型的系统属于政务信息系统的范畴？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
招标拍卖挂牌活动结束后，出让结果需要在多长时间内公布？,招标拍卖挂牌出让国有建设用地使用权规定,1,4
在招标过程中，如果两家投标单位都能满足招标文件的实质性要求，但一家价格更高，另一家综合评分更高，应如何确定中标人？,招标拍卖挂牌出让国有建设用地使用权规定,0,
电子招标投标交易平台的运营机构及其关联单位能否在该平台进行的招标项目中投标或代理投标？,电子招标投标办法,1,1
招标人对招标文件进行澄清或修改后，需要在什么时间前通知投标人，并报备给哪个部门？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,2
询价采购中，从发出询价通知书到供应商提交响应文件的截止时间最少需要多少天？,政府采购非招标采购方式管理办法,1,1
政府采购领域如何推进联合惩戒工作？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
上海联合产权交易所有限公司都有哪些接待方式？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
政府采购非招标采购方式管理办法的制定目的是什么？,政府采购非招标采购方式管理办法,1,1
招标公告和公示信息发布前需要哪些签字和盖章手续？,招标公告和公示信息发布管理办法,1,1
在进行非公开协议方式的企业产权转让时，国资监管机构需要审核哪些文件？,企业国有资产交易监督管理办法,1,1
如果2015年3月1日以后签订的政府采购合同未按要求公告，应该怎么处理？,财政部关于做好政府采购信息公开工作的通知,1,1
在上海市进行房地产转让时，主要依据哪些法律法规？,上海市房地产转让办法,1,1
采购人或者采购代理机构在磋商过程中可以向评审专家提供倾向性解释吗？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
纳入配额管理的单位应在什么时间内履行配额清缴义务？,上海市碳排放管理试行办法,1,1
在哪些情况下，采购人应终止单一来源采购活动并重新开展采购？,政府采购非招标采购方式管理办法,1,1
评标委员会成员在评审过程中出现意见分歧时，应如何处理？,政府采购货物和服务招标投标管理办法,1,4
编制和调整政府购买服务指导性目录的依据是什么？,政府购买服务管理办法,1,1
哪些主体可以作为公共资源拍卖的委托人？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
购买主体在政府购买服务项目履约管理中需要做哪些工作？,政府购买服务管理办法,1,1
企业内部人员参与国有资产转让时有哪些限制？,中华人民共和国企业国有资产法,1,9
如果政府采购合同履行后给第三方造成损失，第三方该如何维权？,政府采购质疑和投诉办法,1,3
如果房地产买卖中的一方违反合同约定，需要承担哪些责任？,上海市房地产转让办法,1,1
上海市交易中心发起方的信用记分达到多少分会被评估为优秀？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,1,1
供应商在询价采购活动中能否多次修改报价？,政府采购非招标采购方式管理办法,1,1
投标人在编制投标文件时，是否必须按照要求进行加密？,电子招标投标办法,1,1
中央和地方预算单位的政府采购信息应分别在哪些媒体上公开？,财政部关于做好政府采购信息公开工作的通知,1,1
哪些类型的资产应当被纳入政府经管资产的管理范畴？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
在进行文物拍卖前，是否需要办理特定的审批手续？,中华人民共和国拍卖法,1,2
拍卖企业在处理拍卖标的的来源和瑕疵问题时，有哪些责任和义务？,拍卖管理办法,1,1
如何提高行政事业单位资产管理干部队伍的素质和能力？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
国家机关擅自处理应委托拍卖的物品，相关责任人会受到什么处罚？,中华人民共和国拍卖法,1,1
上海环境能源交易所的会员分为哪几类，各自有哪些业务权限？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,1
企业在区域性股权市场发行股票需要满足哪些条件？,区域性股权市场监督管理试行办法,1,1
为什么采购需求制定与内部审核岗位需要分开设置？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
受让上市公司股份后，受让方需要满足哪些条件才能拥有上市公司的实际控制权？,金融企业国有资产转让管理办法,1,1
竞争性谈判公告的公告期限是多久？,财政部关于做好政府采购信息公开工作的通知,1,1
意向投资人对增资人进行尽职调查时，需要签署保密协议吗？,【产权交易】企业增资业务规则（试行）,1,3
政府采购中如何贯彻权责对等与依法惩处的原则？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
采购人或采购代理机构拒收供应商在法定质疑期内发出的质疑函，会有什么后果？,政府采购质疑和投诉办法,1,1
供应商在政府采购活动中需要承担哪些义务？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
在行政事业单位资产管理中，各级财政部门和主管部门的具体职责是什么？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,2
如果买受人未支付拍卖价款，拍卖人应该如何处理？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,4
列入交易目录的公共资源交易事项是否必须通过交易平台进行？,上海市公共资源交易管理办法,1,1
哪些情况下大型居住社区项目的勘察、设计、施工和监理可以直接发包？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,1,1
挂牌出让国有建设用地使用权的具体操作步骤有哪些？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
供应商入库后，如果公司信息发生变化，需要在多长时间内更新？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
商务主管部门工作人员在执行公务中获知的保密信息泄露，会如何处理？,拍卖管理办法,1,1
房地产开发企业在什么情况下可以变更已预售商品房的建筑设计？,上海市房地产转让办法,1,1
如果需要对已发出的招标文件进行澄清或修改，应该如何操作？,财政部关于做好政府采购信息公开工作的通知,0,
市交易平台为交易主体提供哪些在线服务？,上海市公共资源交易管理办法,1,2
电子招标投标交易平台运营机构在投标截止时间前，能否向第三方泄露潜在投标人的信息？,电子招标投标办法,1,1
在进行宏观环境分析时，应从哪些方面评估增资人的投资价值和竞争优势？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
如果发现供应商涂改或伪造商品房预售许可证，应该如何处理？,上海市房地产转让办法,1,1
业务部门如何处理和利用“业务咨询接待登记表”？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
施工直接发包和合同备案手续办理需要多长时间？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
政府采购活动中，能否以企业的注册资本金、资产总额等规模条件对中小企业进行差别待遇？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
客户参与碳排放交易需要提交哪些材料进行开户登记？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,9
响应方提交的电子投标保函和电子履约保函是否会被限制或拒收？,上海市公共资源交易管理办法,0,
国有资产监督管理机构在国有独资企业兼并破产过程中有哪些职责？,企业国有资产监督管理暂行条例,1,1
在产权交易中，转让方可以对意向受让方提出哪些具体要求？,金融企业国有资产转让管理办法,1,1
在进行企业增资时，哪些文件是必须提供的？,企业国有资产交易监督管理办法,1,1
磋商过程中，磋商小组可以对采购需求中的技术要求进行实质性变动吗？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
采购人在签订合同时，能否提出超出采购文件的要求？,政府采购非招标采购方式管理办法,1,3
未登记的供应商可以先获取采购文件吗？需要在什么时间前完成登记手续？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
如果投诉书内容不符合规定，财政部门会如何处理？,政府采购质疑和投诉办法,1,1
企业国有资产交易标的需要满足哪些条件才能进行交易？,企业国有资产交易监督管理办法,1,1
供应商在磋商过程中需要重新提交响应文件时，签字和盖章的要求是什么？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
采购人和采购代理机构在提供材料时需要承担哪些责任？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
供应商能否委托他人代为提出质疑和投诉？如果可以，需要准备哪些材料？,政府采购质疑和投诉办法,1,1
上海市公共资源交易中心发起方信用记分，哪些情况下发起方的评估结果会被标注为较差？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,1,1
财政部门及其工作人员在政府采购监督管理中存在违法违纪行为，会受到怎样的处理？,政府采购货物和服务招标投标管理办法,1,1
大型居住社区项目在什么条件下可以并联实施勘察、设计、施工和监理的招投标手续？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,1,1
公开招标项目中，如果合格投标人不足3家，是否可以进行评标？,政府采购货物和服务招标投标管理办法,1,1
投标人在投标截止时间前可以对投标文件进行哪些操作？需要履行哪些手续？,政府采购货物和服务招标投标管理办法,1,6
在进行资产转让时，是否可以对受让方设置资格条件？,企业国有资产交易监督管理办法,1,4
运营机构在区域性股权市场可以开展哪些具体的业务活动？,区域性股权市场监督管理试行办法,1,1
在尽职调查中，如何分析增资人业务所需依赖的关键资源？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
区域性股权市场的诚信档案是否对公众开放查询？,区域性股权市场监督管理试行办法,1,1
在政府采购信息化管理中，哪些系统功能是重点建设的？,财政部关于加强政府采购活动内部控制管理的指导意见,1,8
哪些拍卖活动需要由依法取得从事拍卖业务许可的企业进行？,拍卖管理办法,1,1
如果评标委员会认为某投标单位的报价明显偏低，会如何处理？,政府采购货物和服务招标投标管理办法,1,1
开标和评标现场活动需要录音录像吗？这些资料如何处理？,政府采购货物和服务招标投标管理办法,0,
