Question,True_Title,Recalling,Recall_Weight
评标工作完成后，评审专家的劳务报酬和差旅费应由谁支付？是否可以向其他人员支付评审劳务报酬？,政府采购货物和服务招标投标管理办法,0,
申请参与本市碳排放配额交易的企业和组织需要提交哪些材料？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,1,2
使用支票提交投标保证金的流程是怎样的？,投标保证金提交与退还操作须知,1,1
区域性股权市场在扶持中小微企业发展方面扮演什么角色？,区域性股权市场监督管理试行办法,1,1
自然人参加政府采购活动需要登记入库吗？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
在上海市政府采购中，供应商如何进行基本信息登记？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
资产处置完成后，主管部门和财政部门需要履行哪些备案手续？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
评标专家的评标情况需要详细记录吗？,评标专家和评标专家库管理暂行办法,1,2
供应商提交响应文件时需要注意什么时间要求？,政府采购非招标采购方式管理办法,1,2
承接大型居住社区项目的勘察设计单位需要满足哪些资质要求？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,1,1
行政事业单位资产在履行职能方面有哪些重要作用？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
政府采购评审专家未按规定进行评审或泄露评审信息，会受到哪些处罚？,中华人民共和国政府采购法实施条例,1,1
评标过程中发现招标文件存在重大缺陷，评标委员会应该怎么做？,政府采购货物和服务招标投标管理办法,1,1
采购人在建立内部授权管理体系时，需要遵循哪些原则？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
成为公共资源拍卖人需要满足哪些条件？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,3
在制定采购需求时，需要包含哪些具体内容？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
哪些情况下水运工程项目可以不进行招标？,水运工程建设项目招标投标管理办法,1,1
企业在区域性股权市场可以发行哪些类型的证券？,区域性股权市场监督管理试行办法,1,1
招标人设置不合理条件限制潜在投标人，会受到怎样的处罚？,工程建设项目施工招标投标办法,1,6
政府采购工程如果不进行招标，应采用哪种采购方式？,中华人民共和国政府采购法实施条例,1,5
被投诉人在收到投诉答复通知书后，需要在多长时间内作出书面说明并提交相关材料？,政府采购质疑和投诉办法,1,1
如果履行出资人职责的机构委派的股东代表未按指示履行职责，导致国有资产损失，该代表需要承担哪些法律责任？,中华人民共和国企业国有资产法,1,1
电子招标投标公共服务平台需要具备哪些主要功能？,电子招标投标办法,1,1
在评标过程中，如果需要投标人对投标文件进行澄清或说明，应该通过什么方式进行？,电子招标投标办法,0,
挂牌出让的土地，挂牌时间最短需要多久？,招标拍卖挂牌出让国有建设用地使用权规定,1,10
产权交易中止的期限一般有多长？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
产权转让项目在正式披露信息时，最短需要披露多长时间？,企业国有资产交易监督管理办法,1,1
企业申请从事拍卖业务许可时，注册资本需要达到多少？,中华人民共和国拍卖法,1,3
磋商小组的组成有何具体要求？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
竞争性谈判结束后，提交最后报价的供应商数量有何要求？,政府采购非招标采购方式管理办法,1,1
全国和地方电子招标投标活动的指导协调工作分别由哪些部门负责？,电子招标投标办法,1,1
评审专家在评审过程中擅离职守会有什么处罚？,政府采购非招标采购方式管理办法,1,10
在评标过程中，采购人代表是否可以担任评标组长？,政府采购货物和服务招标投标管理办法,1,1
如果运营机构违法违规经营或出现重大风险，地方金融监管部门会采取哪些措施？,区域性股权市场监督管理试行办法,1,1
拍卖会的具体流程是怎样的？,招标拍卖挂牌出让国有建设用地使用权规定,0,
谈判小组如何确定成交候选人并编写评审报告？,政府采购非招标采购方式管理办法,1,1
交易中心在进行名称变更或经营范围调整时，需要向哪个部门提出申请？,上海市公共资源交易管理办法,1,2
新建安居房、平价房的转让价格是如何确定的？,上海市房地产转让办法,1,1
如果投标人未参加开标，是否会影响其对开标结果的认可？,政府采购货物和服务招标投标管理办法,1,1
上海市交易中心信用记分的扣分等级有哪些？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,1,3
国有资产监督管理机构如何对企业负责人进行考核？,企业国有资产监督管理暂行条例,1,1
政府采购活动中，信用信息查询记录和相关证据需要保存多久？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
询价采购中，如果对询价通知书进行了澄清或修改，需要在什么时间通知供应商？,政府采购非招标采购方式管理办法,1,1
软件和信息技术服务企业，从业人员80人，营业收入800万元，属于什么规模的企业？,工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知,1,1
在上海市政府采购活动中，哪些机构必须使用供应商库？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
在评估增资人公司管理层和核心技术人员的稳定性时，需要考虑哪些因素？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
转让方未履行内部决策程序或职工安置方案审议程序，是否会导致产权交易被中止？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,2
受托机构在处理尽职调查工作底稿时，对未公开披露的信息有哪些保密义务？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
国家出资企业内部的资产转让是否可以非公开进行？,企业国有资产交易监督管理办法,1,1
上海市公共资源交易中心中介机构评估结果为优秀后，能获得哪些具体待遇？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,1,1
企业国有资产交易是否可以在非依法设立的产权交易机构中进行？,企业国有资产交易监督管理办法,1,1
对于工期较长的施工招标项目，招标文件中是否需要包含工程造价指数体系和价格调整方法？,工程建设项目施工招标投标办法,1,1
增资人在申请增资信息预公告时，需要提交哪些主要材料？,【产权交易】企业增资业务规则（试行）,1,1
国有及国有控股金融企业作为上市公司股份转让方，在确定受让方后需要向财政部门报送哪些材料？,金融企业国有资产转让管理办法,1,1
如果采购人未按规定确定成交供应商，会受到哪些处罚？,政府采购非招标采购方式管理办法,1,1
如果质疑和投诉文书的提交期限届满日是节假日，该如何处理？,政府采购质疑和投诉办法,1,1
投标人在投标过程中是否可以与其他投标人协商报价？,政府采购货物和服务招标投标管理办法,1,1
电子招标投标系统具体包括哪些平台？各平台的主要功能是什么？,电子招标投标办法,1,1
事业单位在进行对外投资时需要遵循哪些程序和要求？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
擅自转让房屋建设工程会受到哪些处罚？,上海市房地产转让办法,1,1
评标委员会成员在评审过程中出现意见分歧时，如何处理？,政府采购货物和服务招标投标管理办法,1,3
在重大专项改革中，如何确保涉及的资产处置工作安全进行？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
纳入配额管理的单位在解散、注销、停止生产经营或迁出本市时，应如何处理碳排放报告？,上海市碳排放管理试行办法,1,1
碳排放交易的资金划付和配额交割是如何进行的？,上海市碳排放管理试行办法,1,1
交易所自营类会员资格是否可以进行转让？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
磋商文件的发售期限和供应商提交首次响应文件的时间间隔有何具体要求？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
会员在推荐会员代表时需要提交哪些文件？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
乡村振兴战略中，到2035年的主要目标是什么？,中共中央、国务院关于实施乡村振兴战略的意见,1,1
在竞争性谈判项目中，供应商重新提交响应文件时需要哪些签字和附件要求？,政府采购非招标采购方式管理办法,1,1
申请上海市公共资源交易中心隔夜评标，评标场地需要提前多久提交预约申请？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,1
如果投标文件没有按照招标文件要求签署和盖章，投标会被判定为无效吗？,政府采购货物和服务招标投标管理办法,1,3
综合性区域评估包括哪些具体内容？,上海市优化营商环境条例,0,
在公共资源交易活动中，能否以供应商的注册地或所有制作为限制条件？,上海市公共资源交易管理办法,1,1
上海市公共资源拍卖中心的日常运行由谁负责？,上海市拍卖行业协会关于成立上海市公共资源拍卖中心的请示报告,1,1
在什么情况下，采购人可以终止已经发布的招标活动？,政府采购货物和服务招标投标管理办法,1,1
全国范围内的拍卖活动由哪个部门负责监督管理？,中华人民共和国拍卖法,1,2
企业国有资产的所有权归属及管理机制是怎样的？,企业国有资产监督管理暂行条例,1,3
会员单位是否必须设立会员代表？会员代表的职责是什么？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
中标结果公告时，需要同时公告哪些文件？,财政部关于做好政府采购信息公开工作的通知,1,10
涂改或伪造商品房预售许可证会有什么法律后果？,上海市房地产转让办法,1,1
竞争性谈判项目中，最终投资人如何确定？,【产权交易】企业增资业务规则（试行）,1,3
上海市公共资源拍卖中心如何满足信息发布和查询需求？,上海市拍卖行业协会关于成立上海市公共资源拍卖中心的请示报告,1,5
财政部门在处理投诉事项时，主要采用什么方式？在什么情况下会进行调查取证或组织质证？,政府采购质疑和投诉办法,1,1
政府购买服务项目中，购买主体能否为承接主体的融资行为提供担保？,政府购买服务管理办法,1,1
申请参与碳排放配额交易的机构投资者需要满足哪些条件？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,1,3
联交所在确定投资人择优结果后，多久内向参与增资活动的各方发出通知？,【产权交易】企业增资业务规则（试行）,1,3
区域性股权市场参与者违反规定，地方金融监管部门可以采取哪些监督管理措施？,区域性股权市场监督管理试行办法,1,1
提交符合要求的申请材料后，交易所多久会给出办理意见？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,3
如果项目必须进行招标，但招标人试图通过化整为零的方式规避招标，会受到什么处罚？,工程建设项目施工招标投标办法,1,3
如何确定招标拍卖挂牌的标底或底价？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
在进行行业竞争能力分析时，如何利用SWOT分析法评估公司与主要竞争对手的差异？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
财政部门对集中采购机构考核结果的公告需要包含哪些内容？,财政部关于做好政府采购信息公开工作的通知,1,2
地方财政部门在制定行政事业单位资产管理地方性制度时，需要涵盖哪些方面？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,2
各级国有资产监督管理机构的职责是什么？,企业国有资产监督管理暂行条例,1,1
如何确保行政事业单位的资产配置科学合理？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
在尽职调查结论中，如何确认增资人的合法合规性？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
评标专家在什么情况下会被从评标专家库中除名？,评标专家和评标专家库管理暂行办法,1,2
什么是《上海市房地产转让办法》中所定义的房地产转让？,上海市房地产转让办法,1,1
在工程竣工验收备案时，如果发现违背承诺的情况，建设单位需要采取什么措施？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,1,1
办理上海市建设工程勘察项目的直接发包和合同备案手续时，需要携带哪些材料？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
在招标投标活动中，是否可以设置额外的注册登记或投标报名等前置条件来限制潜在投标人下载资格预审文件或招标文件？,电子招标投标办法,1,1
在碳排放管理相关法规中，“以上”、“以下”是否包含本数？,上海市碳排放管理试行办法,1,1
意向投资人在获得资格确认后，需要做什么才能成为合格意向投资人？,【产权交易】企业增资业务规则（试行）,1,1
上海联合产权交易所有限公司收到来电咨询时，业务员暂时离席，怎么办？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
如果供应商在截止时间后送达响应文件，会被接受吗？,政府采购非招标采购方式管理办法,1,2
国有资产监督管理机构在决定转让国有股权时，需要哪些批准程序？,企业国有资产监督管理暂行条例,0,
碳排放配额的具体定义是什么？,上海市碳排放管理试行办法,1,1
在设定政府购买服务承接主体条件时，有哪些注意事项？,政府购买服务管理办法,1,1
公开招标公告中必须包含哪些基本信息？,财政部关于做好政府采购信息公开工作的通知,1,2
招标人不按规定组建评标委员会会有什么后果？,工程建设项目施工招标投标办法,1,2
政府采购评审专家库是如何进行管理的？,中华人民共和国政府采购法实施条例,1,2
什么是建筑市场信用信息？,上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知,1,1
在哪些情况下，交易所可以限制或终止会员的业务和资格？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
在金融企业国有资产转让过程中，财政部门对转让方报送的材料审核的重点是什么？,金融企业国有资产转让管理办法,1,1
竞买人需要满足哪些资格要求才能参与公共资源拍卖？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
联交所收到增资申请材料后，多长时间内需要进行形式审核？,【产权交易】企业增资业务规则（试行）,1,2
公共资源拍卖活动需要遵循哪些基本原则？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,2
政府采购中，哪些部门负责监督检查促进中小企业发展政策的执行情况？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
在申请增资信息正式公告时，增资人需要额外提交哪些材料？,【产权交易】企业增资业务规则（试行）,1,1
政府采购当事人违反规定给他人造成损失，应承担什么责任？,政府采购非招标采购方式管理办法,1,10
如果投标文件在截止时间后送达，采购人是否可以接受该投标文件？,政府采购货物和服务招标投标管理办法,1,1
地方采购项目的预算金额超过500万元时，信息发布有哪些特别要求？,财政部关于做好政府采购信息公开工作的通知,1,1
在招投标评审中，如何分析和评估投标公司近三年的财务状况？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
政府采购预算中，面向中小企业的采购比例有何具体要求？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
供应商的诚信状况是如何被记录和管理的？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
在政府采购投诉处理过程中，哪些情况下财政部门会驳回投诉？,政府采购质疑和投诉办法,1,1
国有独资企业在招投标过程中，是否需要承担企业国有资产的保值增值责任？,企业国有资产监督管理暂行条例,1,1
区域性股权市场的诚信信息是否需要记入中国证监会的诚信档案数据库？,区域性股权市场监督管理试行办法,1,1
编写增资人简介时，需要涵盖哪些方面的内容？,【产权交易】企业增资业务受托机构工作指引（试行）,1,2
办理施工直接发包和合同备案手续的表格在哪里填报？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
电子招标投标平台是否可以要求投标人购买指定的工具软件？,电子招标投标办法,1,1
受托机构如何评估增资人管理层的诚信情况？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
投诉处理过程中产生的第三方费用由谁承担？,政府采购质疑和投诉办法,1,1
交易平台收到投标文件后，需要向投标人提供什么反馈？,电子招标投标办法,1,1
评审现场组织工作是否可以由一个人单独完成？,财政部关于加强政府采购活动内部控制管理的指导意见,0,
在施工招标中，招标人能否将工程技术上紧密相连的单位工程分割成多个标段进行招标？,工程建设项目施工招标投标办法,1,5
区域性股权市场的信息系统安全由谁负责？,区域性股权市场监督管理试行办法,1,1
在政务信息系统采购活动中，采购人是否需要指派代表参与评审？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
本市碳排放配额分配方案由哪些部门制定，需要经过哪些审批程序？,上海市碳排放管理试行办法,1,1
如果纳入配额管理的单位发生合并，其配额和相关权利义务如何处理？,上海市碳排放管理试行办法,1,2
如果投标人对开标过程有疑义，应该怎么处理？,政府采购货物和服务招标投标管理办法,1,1
在依法必须进行招标的工程建设项目中，招标人需要上报什么文件，包含哪些内容？,工程建设项目货物招标投标办法,1,4
在招投标过程中，如何评估一家公司的独立性？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
挂牌出让过程中，挂牌截止时如何确定最高报价及其报价者？,招标拍卖挂牌出让国有建设用地使用权规定,1,2
财政部门在监督政府采购内部控制管理制度方面有哪些具体措施？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
所出资企业在经营管理国有资产时，需要承担哪些责任？,企业国有资产监督管理暂行条例,1,1
在评估公司股权结构时，需要关注哪些关键信息？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
在审查增资人公司治理情况时，应重点关注哪些方面？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
市发展改革部门在第三方机构管理方面需要建立哪些制度？,上海市碳排放管理试行办法,1,3
哪些组织属于农业生产经营组织？,中华人民共和国农业法,1,1
在进行监理直接发包和合同备案手续办理前，需要满足哪些前提条件？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
拍卖未成交时，拍卖人能否向委托人收取费用？如果能，收费标准是什么？,中华人民共和国拍卖法,1,1
外籍高层次人才在上海市如何办理工作许可和居留许可？,上海市优化营商环境条例,1,1
磋商小组在审查响应文件时，发现文件中有含义不明确的内容，可以要求供应商澄清吗？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
询价采购需求中的技术和服务要求需要满足哪些条件？,政府采购非招标采购方式管理办法,1,3
政府采购活动中，供应商的信用记录是如何影响其参与资格的？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,2
受托机构在核实增资人是否完成增资审批程序时，需要关注哪些方面？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
招标人或其委托的招标代理机构在发布资格预审公告、招标公告或投标邀请书时，需要包含哪些信息？,电子招标投标办法,1,4
中标人或竞得人在确定中标后，需要在什么时间内与出让人签订出让合同？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
如果评标委员会拒绝复核评标结果，采购代理机构应该如何处理？,政府采购货物和服务招标投标管理办法,1,1
在哪些情况下，企业增资可以采取非公开协议方式？,企业国有资产交易监督管理办法,1,3
上海市公共资源交易中心评标（评审）专家信用记分在60分到70分之间时，会面临什么处罚？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
纳入配额管理的单位在进行节能改造和淘汰落后产能时，能否继续享受节能减排专项资金支持？,上海市碳排放管理试行办法,1,1
电子招标投标交易平台运营机构需要采取哪些技术措施来保证平台的安全性和可靠性？,电子招标投标办法,1,1
转让方在完成金融企业国有资产转让后，需要办理哪些后续手续？,金融企业国有资产转让管理办法,1,1
成交供应商确定后，采购人需要在多长时间内公告成交结果？,政府采购非招标采购方式管理办法,1,1
投标人在投标截止时间前撤回投标文件，采购人应在多少个工作日内退还投标保证金？,政府采购货物和服务招标投标管理办法,0,
如何有效盘活行政事业单位的存量资产？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
评标专家有哪些权利？,评标专家和评标专家库管理暂行办法,1,2
在拍卖会上，如果主持人连续三次宣布同一应价但没有再应价，是否可以直接宣布成交？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
评标评审专家如何在线进行评标评审并提交报告？,上海市公共资源交易管理办法,0,
投诉人在投诉处理决定做出前要求撤回投诉，行政监督部门如何处理？,工程建设项目招标投标活动投诉处理办法,1,1
政府采购信息公开工作的重要性体现在哪些方面？,财政部关于做好政府采购信息公开工作的通知,1,1
采购人在选择采购代理机构时，是否需要查询其信用记录？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
政府购买服务项目在选择时，应优先考虑哪些方面的项目？,政府购买服务管理办法,1,1
法人分支机构可以独立参加政府采购活动吗？法人和其分支机构能否同时参与同一项目的采购活动？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,2
招标文件或资格预审文件的出售时间有何规定？,工程建设项目施工招标投标办法,1,2
上市金融企业转让国有股份需要通过什么途径进行？,金融企业国有资产转让管理办法,1,1
如果投诉处理中发现被投诉单位的相关人员有违法行为，会如何处理？,工程建设项目招标投标活动投诉处理办法,1,1
评标专家在评标过程中有哪些禁止行为？,评标专家和评标专家库管理暂行办法,1,1
提交产权交易中止申请时，需要提供哪些材料？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
评标过程中，采购人的其他工作人员可以进入评标现场吗？,政府采购货物和服务招标投标管理办法,1,1
拍卖活动的相关记录需要保存多长时间？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,2
招标出让国有建设用地使用权的具体流程是怎样的？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
如果我们的公司已经无偿取得了此后年度的配额，但在审定结论后需要完成配额清缴义务，这些无偿取得的配额会被如何处理？,上海市碳排放管理试行办法,1,1
评审专家因严重违规被取消资格后，还能参加政府采购项目的评审吗？,政府采购非招标采购方式管理办法,1,1
行政事业单位资产管理信息系统需要与哪些系统实现对接？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
增资方案通常需要包含哪些主要内容？,【产权交易】企业增资业务规则（试行）,1,1
拍卖师资格证书由哪个机构颁发？,中华人民共和国拍卖法,1,2
投标人在投标截止时间前撤回投标文件，采购人多久内需要退还投标保证金？,政府采购货物和服务招标投标管理办法,0,
如果采购人在规定时间内未确定中标人，会如何处理？,政府采购货物和服务招标投标管理办法,1,1
招标文件可以只用英文编写吗？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,2
联交所需要在多长时间内将意向投资人的信息反馈给增资人？,【产权交易】企业增资业务规则（试行）,1,1
我在投诉招投标活动时，哪些情况下投诉不会被受理？,工程建设项目招标投标活动投诉处理办法,1,1
国家出资企业的产权转让需要经过哪些审批程序？,企业国有资产交易监督管理办法,1,1
新建房屋在保修期内再转让，原房地产转让人是否还需承担保修责任？,上海市房地产转让办法,1,1
设区的市、自治州级人民政府履行出资人职责的国有及国有控股、国有参股企业，需要向哪个机构备案？,企业国有资产监督管理暂行条例,1,1
招投标项目中的工作底稿需要保存多长时间？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
如果转让方或转让标的企业在国有资产转让过程中违规，会受到哪些处罚？,金融企业国有资产转让管理办法,1,2
政府采购项目中，财政部门处理投诉事项时，所需时间是否计入投诉处理期限内？,中华人民共和国政府采购法实施条例,1,3
供应商在提交最后报价前退出谈判，其保证金如何处理？,政府采购非招标采购方式管理办法,1,1
哪些公共资源交易事项需要列入交易目录？,上海市公共资源交易管理办法,1,1
谈判文件中必须包含哪些主要内容？,政府采购非招标采购方式管理办法,1,1
评审专家在政府采购项目中若出现严重违规行为，会受到哪些处罚？,政府采购非招标采购方式管理办法,1,6
政府购买服务合同中必须包含哪些关键条款？,政府购买服务管理办法,1,1
拍卖保留价是如何确定的，并且需要通知哪些人？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
在什么情况下，采购人可以要求投标人提供样品？,政府采购货物和服务招标投标管理办法,1,1
